,R2,rmse,R2_classic
2003,0.6383698425568992,9.044481563393186,-0.14922913152985973
2004,0.7382419599099429,7.421185235432295,0.5811426997549337
2005,0.7104300621990288,5.506105035484589,0.6474862868773985
2006,0.8283037385814217,4.494769839504715,0.7998453575954326
2007,0.7015509593267895,5.029213277383484,0.6940297098910575
2008,0.6759720848810995,4.981786936179846,0.5590396211564895
2009,0.5383551533878287,5.44043414493403,0.46532963741690125
2010,0.7110988688794702,5.586401564977609,0.45199268644657575
2011,0.7163792316125903,5.014439642889194,0.6709775746976179
2012,0.6261152312682412,6.489075892450873,0.5999473932935482
2013,0.7143591770576196,5.308752968891176,0.6464518514924495
2014,0.7035103647551764,5.081209374892573,0.6765771700483335
2015,0.6921203257925331,4.915371753869387,0.666746851306983
2016,0.6731791253964275,5.833673024838624,0.4114737811939947
