,R2,rmse,R2_classic
2003,0.6746207993050894,8.694919183147913,-0.06211213314144204
2004,0.8133278455007531,6.282070317387802,0.6998591335015867
2005,0.7695654058270917,4.703511067142682,0.7427642219683959
2006,0.8168144245789373,4.731211855708566,0.7782337041779289
2007,0.6307076342625869,5.531688855786222,0.6298356078478198
2008,0.6814438648838317,5.833707933769517,0.3953297041474221
2009,0.6237238033755986,4.844117353424835,0.5761147470700569
2010,0.728092332362815,5.097777599802787,0.5436649550557668
2011,0.6223725417674089,5.445822129386313,0.6119322187089374
2012,0.7509259865886206,5.913523972666005,0.6677659647070366
2013,0.7073422949915149,4.990927892000649,0.687517195222721
2014,0.7248210882612212,4.826537112414488,0.7081848794366307
2015,0.7244700195974217,4.536969900385284,0.7160817440421887
2016,0.7593008653910853,6.126259412953916,0.3509585784557444
