,R2,rmse,R2_classic
2003,0.4488442603212394,10.501544663908223,-0.976663155219885
2004,0.6414926332306183,8.705103498851926,0.4686712969643917
2005,0.7640490529149186,5.5906049943202625,0.5441127490660032
2006,0.8546291144333513,4.941063867697689,0.7581612009078028
2007,0.6982689654617644,5.5555685438949745,0.6165378675757072
2008,0.6836697919257176,6.6644947388331754,0.21529882719565874
2009,0.6410367676465484,5.0354789125551,0.5388924061847784
2010,0.688574598010713,5.902698303129777,0.34241995707067296
2011,0.6266535076380652,5.224482852845715,0.6237584362913433
2012,0.6832405495610433,6.136059435498508,0.6399940212815759
2013,0.7306859520703468,5.378409211543711,0.637113161091002
2014,0.7447194076470305,4.582652307694733,0.7312487862300789
2015,0.6476954821440654,5.131568656664204,0.631734147485205
2016,0.713970113370682,7.141558099863235,0.10046601415696033
