,R2,rmse,R2_classic
2003,0.7095458289168238,6.867854258114887,0.1588285102418029
2004,0.8424873325912675,5.215143152552702,0.8093012405876281
2005,0.8185954550033854,3.8674593244622555,0.7815868070498265
2006,0.8031184821945326,4.564084992587815,0.7936556940905398
2007,0.7214875900891702,4.986704126897256,0.6910468232818163
2008,0.7141528718552544,4.556590257048266,0.6331827106845589
2009,0.713097422539853,4.86653953959266,0.5693135346842957
2010,0.7183014865285824,4.401159702185755,0.6344206070655038
2011,0.7047370254089564,4.730479851761955,0.6919951320919807
2012,0.7031429311160141,5.584655074973083,0.7017892411541544
2013,0.7644655270037072,4.381504050928104,0.7591703421867255
2014,0.7789160741287089,4.555674419653651,0.7344037272736379
2015,0.7960832898724612,4.081015822902641,0.7685978978786494
2016,0.7636027444929808,4.791164821399019,0.5951316278281946
