,R2,rmse,R2_classic
2003,0.6748460372002544,8.889977336828876,-0.11030060971361877
2004,0.817302131677784,6.2528441189416295,0.702645339661361
2005,0.7658023641361719,4.811144705473046,0.7308565151257924
2006,0.8332426775990458,4.58446575935345,0.7917772306028856
2007,0.5577993587102724,6.27486609277008,0.523691780569795
2008,0.6736948243493825,5.6882651118461975,0.42510447427696474
2009,0.6241526490244476,4.93076841289816,0.5608142843900727
2010,0.7144988169636554,5.128556632655953,0.538137859090262
2011,0.6460142204001462,5.325566297351822,0.6288817821805378
2012,0.722499415121625,6.182155711696796,0.6368957963037402
2013,0.695880622021182,5.226289293412439,0.6573502454651368
2014,0.7338201656440154,4.717439470107153,0.7212279913831523
2015,0.7149430058510695,4.618870940047565,0.7057386809980477
2016,0.7564585226276849,5.595051724712531,0.45863539193620895
