,R2,rmse,R2_classic
2003,0.6762007945499587,7.26443181437698,0.058878474008686066
2004,0.8268960397440757,5.448790464012705,0.791831211800676
2005,0.8136178235089491,3.8518498368256107,0.7833463279962019
2006,0.8227903200124254,4.2838411737078275,0.8182176289257499
2007,0.7280894783546337,4.842966308921942,0.7086007979610358
2008,0.7113881906222331,4.644346953854739,0.6189173690230498
2009,0.7080608491005099,4.847109906587024,0.5727456963410359
2010,0.7168262037387431,4.379524258026915,0.6380060400795947
2011,0.6996220557181003,4.717709352729224,0.6936558797033381
2012,0.7357179551652019,5.268421873303505,0.7346056417960956
2013,0.7652089364713079,4.337288403634396,0.7640064487327975
2014,0.7805894692208084,4.400033995602371,0.7522414319320239
2015,0.7900841912038903,4.054458757482524,0.7715997805822821
2016,0.7666734380200512,4.908275919837692,0.5750972261269129
