,R2,rmse,R2_classic
2003,0.7119795200325081,6.613609788404891,0.2199552138832841
2004,0.798115753806807,6.074410292462056,0.7412837872486433
2005,0.8038861420631135,4.047951463448034,0.7607246548981008
2006,0.8181867572378819,4.388095556837375,0.8092620128757868
2007,0.7371454308313893,4.893269680397966,0.7025158951199082
2008,0.7260822505863505,4.664000036379996,0.6156853561279804
2009,0.7582957891202236,4.006395742691751,0.7081038258620125
2010,0.7274089752928912,4.373893808991466,0.6389362225578754
2011,0.7244871338078003,4.475653374581887,0.7242852025159192
2012,0.7058544712548999,5.790931517108217,0.6793527968987346
2013,0.7436631790360428,4.536495164047701,0.7418307946542183
2014,0.8000759437748406,4.373770190470208,0.7551903465849272
2015,0.7987779725293414,4.178010286272874,0.7574676066929544
2016,0.7333255819934515,5.300910722471792,0.5043985038894467
