,R2,rmse,R2_classic
2003,0.6176346037010291,7.177919870425263,0.07652846945814029
2004,0.7427558993567824,7.1712416660507445,0.6394179395787332
2005,0.77791386095358,4.6131018459025,0.6895969952945702
2006,0.8514310053915151,4.298911440324617,0.8169363827770877
2007,0.7010594580328967,5.41525903609978,0.6356624496485261
2008,0.6505585685251705,5.235203196065729,0.5157864611329124
2009,0.7747970051223949,3.644347582768429,0.7584759990646373
2010,0.7034760646477077,5.389078588604872,0.45187894426568376
2011,0.7287231419913428,4.596999446799128,0.7087076646029687
2012,0.6498525284040257,6.296099278718185,0.6209698713021095
2013,0.7219057185256996,5.2169565110119756,0.6585729180481446
2014,0.809936138669026,3.9600902847241826,0.7993095100732904
2015,0.7689994779982041,4.443705954026954,0.7238457128399629
2016,0.7454651323646405,5.435234971617128,0.47896334547104846
